record_number,paid,outstanding,scrape_status
BA-202503471,6440.0,0.0,success
BA-202503469,0.0,1650.0,success
BA-202503453,4890.0,0.0,success
BA-202503407,0.0,7040.0,success
BA-202503365,2830.0,0.0,success
BA-202503363,0.0,0.0,success
BA-202503361,2480.0,0.0,success
BA-202503350,1730.0,0.0,success
BA-202503339,3500.0,0.0,success
BA-202503322,13570.0,0.0,success
BA-202503301,3460.0,0.0,success
BA-202503237,510.0,0.0,success
BA-202503204,3910.0,0.0,success
BA-202503203,0.0,0.0,success
BA-202503194,3410.0,0.0,success
BA-202503152,3050.0,0.0,success
BA-202503126,4540.0,0.0,success
BA-202503122,1850.0,0.0,success
BA-202503113,0.0,0.0,success
BA-202503102,0.0,7050.0,success
BA-202503095,0.0,0.0,success
BA-202503080,0.0,5540.0,success
BA-202503011,0.0,0.0,success
BA-202503010,1770.0,0.0,success
BA-202502956,0.0,0.0,success
BA-202502935,0.0,1080.0,success
BA-202502867,0.0,1010.0,success
BA-202502866,0.0,0.0,success
BA-202502817,2240.0,0.0,success
BA-202502798,575.0,0.0,success
BA-202502792,780.0,0.0,success
BA-202502778,3650.0,0.0,success
BA-202502706,19220.0,0.0,success
BA-202502696,16140.0,0.0,success
BA-202502606,960.0,0.0,success
BA-202502605,0.0,1310.0,success
BA-202502571,1850.0,0.0,success
BA-202502526,0.0,0.0,success
BA-202502495,0.0,2520.0,success
BA-202502492,0.0,1050.0,success
BA-202502489,0.0,15830.0,success
BA-202502484,2980.0,0.0,success
BA-202502475,2980.0,0.0,success
BA-202502474,0.0,0.0,success
BA-202502472,0.0,0.0,success
BA-202502464,2240.0,0.0,success
BA-202502445,0.0,0.0,success
BA-202502432,0.0,0.0,success
BA-202502424,0.0,1320.0,success
BA-202502390,1510.0,0.0,success
BA-202502382,0.0,4420.0,success
BA-202502376,0.0,3580.0,success
BA-202502370,0.0,8380.0,success
BA-202502335,8380.0,0.0,success
BA-202502316,0.0,2480.0,success
BA-202502276,960.0,0.0,success
BA-202502274,0.0,0.0,success
BA-202502265,1500.0,0.0,success
BA-202502252,4320.0,0.0,success
BA-202502197,5430.0,0.0,success
BA-202502180,2660.0,0.0,success
BA-202502157,960.0,0.0,success
BA-202502156,7160.0,0.0,success
BA-202502120,6650.0,0.0,success
BA-202502112,3170.0,0.0,success
BA-202502076,0.0,0.0,success
BA-202502075,0.0,10070.0,success
BA-202502068,0.0,24400.0,success
BA-202502035,3250.0,0.0,success
BA-202502019,14950.0,0.0,success
BA-202502018,4030.0,0.0,success
BA-202501977,0.0,0.0,success
BA-202501965,1760.0,0.0,success
BA-202501961,1320.0,0.0,success
BA-202501955,0.0,2680.0,success
BA-202501953,1050.0,0.0,success
BA-202501933,0.0,2520.0,success
BA-202501922,3890.0,0.0,success
BA-202501920,2330.0,0.0,success
BA-202501919,1640.0,0.0,success
BA-202501891,50.0,0.0,success
BA-202501879,8050.0,0.0,success
BA-202501866,0.0,1680.0,success
BA-202501826,12110.0,0.0,success
BA-202501810,6590.0,0.0,success
BA-202501802,0.0,0.0,success
BA-202501801,0.0,0.0,success
BA-202501769,0.0,4400.0,success
BA-202501727,0.0,0.0,success
BA-202501698,555.0,0.0,success
BA-202501669,3020.0,0.0,success
BA-202501656,0.0,900.0,success
BA-202501625,0.0,1010.0,success
BA-202501623,2210.0,0.0,success
BA-202501568,0.0,0.0,success
BA-202501551,0.0,0.0,success
BA-202501507,24160.0,0.0,success
BA-202501475,840.0,0.0,success
BA-202501438,12580.0,0.0,success
BA-202501396,0.0,0.0,success
BA-202501392,7450.0,0.0,success
BA-202501389,24160.0,0.0,success
BA-202501386,3520.0,0.0,success
BA-202501370,11040.0,0.0,success
BA-202501332,0.0,3410.0,success
BA-202501325,0.0,1910.0,success
BA-202501297,0.0,2180.0,success
BA-202501285,0.0,0.0,success
BA-202501284,3310.0,0.0,success
BA-202501281,0.0,0.0,success
BA-202501246,1520.0,0.0,success
BA-202501225,1520.0,0.0,success
BA-202501193,1460.0,0.0,success
BA-202501162,1580.0,0.0,success
BA-202501156,8560.0,0.0,success
BA-202501130,1710.0,0.0,success
BA-202501114,900.0,0.0,success
BA-202500980,0.0,14600.0,success
BA-202500964,1350.0,0.0,success
BA-202500960,0.0,0.0,success
BA-202500959,2630.0,0.0,success
BA-202500929,0.0,0.0,failed
BA-202500921,0.0,0.0,failed
BA-202500905,0.0,2450.0,success
BA-202500858,1320.0,0.0,success
BA-202500856,1790.0,0.0,success
BA-202500839,19710.0,0.0,success
BA-202500808,22500.0,0.0,success
BA-202500806,11090.0,0.0,success
BA-202500778,0.0,0.0,success
BA-202500774,0.0,0.0,success
BA-202500762,0.0,0.0,success
BA-202500759,2540.0,0.0,success
